circular_no,name,date,link
1.9.4,Originating correspondence on files,25.10.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.9.4.pdf
1.9.3,Record Keeping by Managers dealing with individual subjects,18.08.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.9.3.pdf
1.9.2,Guidelines on filing of documents and maintenance of records,20.08.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.9.2.pdf
1.9.1,Guidelines on filing of documents and maintenance of records,16.02.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.9.1.pdf
1.10.7,"Standard Operating Procedure (SOP) for laying of Regulations made by NHAI under Section 35 of NHAI Act, 1988 before both Houses of the Parliament – reg.",26.02.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.7.pdf
1.10.6,Approval of Annual Calendar for preparation and submission of Annual and Quarterly Accounts to the concerned Authorities and subsequent compliance of Statutory and Regulatory obligations CAG Audit 2022-Reg.,09.02.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.6.pdf
1.10.5,Timely  submission for material/reply to Parliament questions,26.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.5.pdf
1.10.4,Laying of Annual Reports and Audited Accounts of the Authority on the Table of the Houses of Parliament- Recommendation of the Committee on papers laid on the Table,17.06.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.4.pdf
1.10.3,"Laying of the Annual Reports and Audited Accounts of the Authority on the Table of the Houses of Parliament-Examination by the Committee on papers Laid on the Table (COPLOT),Rajya Sabha.",18.12.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.3.pdf
1.10.2,Preparation of replies to Parliament Questions,09.02.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.2.pdf
1.10.1,Laying of notifications in both Houses of Parliament.,24.10.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.10.1.pdf
1.11.5,Official dealings between the administration and Members of Parliament and State Legislature-Observance of roper procedure.,20.08.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.11.5.pdf
1.11.4,Redressal of Public Grievances,10.07.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.11.4.pdf
1.11.3,Timely submission of information relating to VIP references,14.09.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.11.3.pdf
1.11.2,Instructions regarding correspondence with Members of Parliament and Ministers of State Government in accordance with provisions of Manual of office procedure read with Order No. I-26011/3/2001-O&M dated 13.03.2006,24.03.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.11.2.pdf
1.11.1,Communications addressed to Members of Parliament,03.08.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.11.1.pdf
1.12.4,Public disclosure of information- Topical developments in projects of NHAI having public importance,12.05.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/1.12.4.pdf
1.12.3,CIC order regarding applicant?s address,22.01.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.12.3.pdf
1.12.2,Procedure for disposal of RTI applications and appeals at RO level.,09.04.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.12.2.pdf
1.12.1,Providing of information/reports related to RTI within the prescribed time limit,20.07.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.12.1.pdf
1.13.13,Requisition for Vehicle,12.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.13.pdf
1.13.25,Membership of Death Benevolent Scheme,29.02.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.25.pdf
1.13.8,Briefcase Reimbursement,29.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.8.pdf
1.13.39,Standard Application format for advertisemnt of vacancies for various posts in NHAI-reg.,18.07.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.39.pdf
1.13.36,Obtaining undertaking from officers and employees of NHAI (including deputationist and long-term/short-term contract employees),23.05.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.36.pdf
1.13.38,Handing-taking over of charge by GMs/ DGMs/Managers who are holding the charge of Project Directors.,06.11.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.38.pdf
1.13.37,Format of certificate for handing/taking over charge by technical officers,25.09.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.37.pdf
1.13.35,Standard application format for advertisement of vacancies for various posts in NHAI,06.02.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.35.pdf
1.13.9,Self Lease Accommodation,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.9.pdf
1.13.7,Medical Reimbursement (Indoor),,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.7.pdf
1.13.6,Medical Reimbursement (OPD) on submission of bills,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.6.pdf
1.13.5,Medical Reimbursement (OPD) on self certification,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.5.pdf
1.13.4,Laptop Reimbursement,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.4.pdf
1.13.12,Lease Cancellation,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.12.pdf
1.13.11,Lease Maintenance,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.11.pdf
1.13.10,Authority Lease Accommodation,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.10.pdf
1.13.1,Newspaper and Refreshment Reimbursement,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.1.pdf
1.13.34,ACR Form-8 Finance Personnel-on Contract,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.34.pdf
1.13.33,ACR Form-7 Finance Personnel-Regular & Deputationist,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.33.pdf
1.13.32,ACR Form-6 Staff,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.32.pdf
1.13.31,ACR Form-5 Secretarial Cadre,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.31.pdf
1.13.30,ACR Form-4 GM & below level officers-Tech,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.30.pdf
1.13.3,Mobile Instrument Reimbursement,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.3.pdf
1.13.29,ACR Form-3 GM & below level officers,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.29.pdf
1.13.28,ACR Form-2 Members & CGMs-Tech,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.28.pdf
1.13.27,ACR Form-1 Members & CGMs above,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.27.pdf
1.13.26,Annual Property Return,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.26.pdf
1.13.24,Parking Sticker Request,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.24.pdf
1.13.23,Photo Identity Card,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.23.pdf
1.13.22,LTC Bill,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.22.pdf
1.13.21,LTC Advance,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.21.pdf
1.13.20,TA Bill for Transfer,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.20.pdf
1.13.2,Telephone/Mobile Reimbursement,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.2.pdf
1.13.19,TA Bill for Tours,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.19.pdf
1.13.18,Booking of Air Tickets,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.18.pdf
1.13.17,Approval of Tour,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.17.pdf
1.13.16,Application for Leave/Extension of Leave,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.16.pdf
1.13.15,Children Education Allowance,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.15.pdf
1.13.14,Health Check-up,,https://library.nhai.org/nhailibrary/Assets/Pdf/1.13.14.pdf
2.1.83,Amendment to the provisions of Contract/ Concession Agreements pertaining to the constitution of Dispute Resolution Board (DRB) -reg.,02.05.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.83.pdf
2.1.82,3 CGMs Committees for recommending the Offer of NHAI in Conciliation through CCIEs - reg.,26.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.82.pdf
2.1.81,Datalake module for conciliation through CCIE-reg,24.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.81.pdf
2.1.80,Standard Operating Procedure for Conciliation provided in the Contract / Concession Agreement for the Disputes/ Claims Recommended/ Decided by Dispute Resolution Board (DRB) - reg.,13.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.80.pdf
2.1.79,3 CGMs Committees for recommending the offer of NHAI in conciliation   through CCIEs,20.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.79.pdf
2.1.78,Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs- 3),20.08.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.78.pdf
2.1.77,3 CGMs Committees for recommending the offers of NHAI in conciliation through CCIEs - reg.,01.08.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.77.pdf
2.1.76,"3 CGMs committees for recommending the offers of NHAI in conciliation through 	CCIEs.-reg.",09.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.76.pdf
2.1.75,Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs 1 & 2),14.06.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.75.pdf
2.1.74,Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs 1 & 2),16.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.74.pdf
2.1.73,CGMs committees for recommending the offers of NHAI in conciliation through CCIEs-reg.,03.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.73.pdf
2.1.72,One Time Settlement of Contractual Disputes on similar lines as “Vivad se Vishwas- II (Contractual Disputes)” under Ministry of Road Transport and Highways – reg.,11.03.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.72.pdf
2.1.71,"Revision of Fee payable to the Arbitrators in terms of the Arbitration & Conciliation (Amendment) Act, 2015 and in pursuance to the judgement dated 30-08.2022 of Hon’ble Supreme Court of India in the matter i.e.  Civil  Appeal  No. 5880–5879 of 2022 titled as M/s ONGC Vs M/s Afcons Gunanusa JV-reg.",02.02.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.71.pdf
2.1.70,"Guidelines for defending the cases, of charging tariffs equivalent to Local Municipal bodies for Street Lighting in the Projects of NHAI, before CGRF/APTEL/Courts – reg.",25.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.70.pdf
2.1.69,Settlement of Contractual Disputes - Clarification on Recovery against dues of NHAI from Settlement Amount under VSV-II Scheme – Reg.,11.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.69.pdf
2.1.68,Standard Operating Procedure (SOP) for making payments under Vivad Se Vishwas Scheme from NHAI-HQ – reg.,08.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.68.pdf
2.1.67,"Standardization of template for filing petitions under Section 34 & Section 37 of Arbitration and Conciliation Act, 1996 for withdrawal of ongoing court cases  at Delhi High Court under “Vivad Se Vishwas – II” Scheme – reg.",22.12.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.67.pdf
2.1.66,Streamlining Process for Vivad Se Vishwas-II Cases – reg.,18.12.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.66.pdf
2.1.65,3 CGMs committees for recommending the offers of NHAI in conciliation through CCIEs. – reg.,04.12.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.65.pdf
2.1.64,"व्यय विभाग, वित्त मंत्रालय द्वारा का.ज्ञा. दिनांक 29.05.2023 के माध्यम से जारी “विवाद 	से विश्वास – II (संविदात्मक विवाद) योजना के संबंध में। “Vivad se Vishwas – II (Contractual Disputes) Scheme” issued by Dept. of Expenditure, MoF vide OM dated 29.05.2023- reg.",11.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.64.pdf
2.1.63,"“Vivad se Vishwas – II (Contractual Disputes) Scheme” issued by Dept. of Expenditure, MoF vide OM dated 29.05.2023- reg.",03.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.63.pdf
2.1.62,"स्वतंत्र विशेषज्ञों की सुलह समिति -1 (सीसीआईई-1) के सदस्यों की संरचना में परिवर्तन के संबंध में।
Change in Composition of Members of Conciliation Committee of Independent Experts -1 (CCIE-1) - reg.",30.08.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.62.pdf
2.1.61,"स्वतंत्र विशेषज्ञों की सुलह समितियों 3 (सीसीआईई-3) के स्वतंत्र विशेषज्ञों के पैनल की समय अवधि के विस्तार के संबंध में।
Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts 3 (CCIE- 3) - reg.",17.08.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.61.pdf
2.1.60,Standard Operating Procedure for one time settlement through the scheme “Vivad se Vishwas II (Contractual Disputes)”- reg.,04.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.60.pdf
2.1.59,Compliance of Standard Operating Procedure (SoP) for nomination of Arbitrator and Constitution of Arbitral Tribunals - Contractual Disputes/Claims,31.05.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.59.pdf
2.1.58,3 CGMs committees for recommending the offers of NHAI in conciliation through CCIEs,15.05.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.58.pdf
2.1.57,Extension of time period of Panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs 1&2),28.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.57.pdf
2.1.56,3 CGMs committees for recommending the offers of NHAI in conciliation through CCIEs - reg.,18.11.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.56.pdf
2.1.55,Extension of time period of Conciliation Committees of Independent Experts 3 (CCIEs 3)- reg.,29.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.55.pdf
2.1.54,Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs 1 & 2) – Reg.,18.05.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.54.pdf
2.1.53,Regarding association of CGM (BOT) as one of the Member in 3 CGM Committees for conciliation of disputes-reg,16.11.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.53.pdf
2.1.52,Association of CGM(BOT) as one of the Member in the 3 CGMs Committee.,27.07.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.52.pdf
2.1.51,3 CGMs committees for recommending the offers of NHAI in conciliation through CCIEs.,11.06.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.51.pdf
2.1.50,Timelines to process the matters for referring to CCIEs.,26.05.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.50.pdf
2.1.49,Establishment of a Conciliation & Settlement Mechanism for Contractual Disputes under the contract agreements with the Contractors/ Concessionaires/ Consultants in NHAI - Regarding  Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Experts (CCIEs 1 & 2).,24.05.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.49.pdf
2.1.48,Modified Standard Operating Procedure/Methodology for Conciliation.,09.04.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.48.pdf
2.1.47,Attending of Arbitral Tribunal (AT) and Court hearings.,23.03.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.47.pdf
2.1.46,3 CGMs Committees for Recommending the offer of NHAI in conciliation through Conciliation Committees of Independent Experts.,19.02.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.46.pdf
2.1.45,Applicability of Goods & Service Tax (GST) on the Fees paid to the Members of Conciliation Committees of Independent Experts – Reg.,20.11.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.45.pdf
2.1.44,"Revision of Fee payable to the Arbitrators in terms of the Arbitration & Conciliation (Amendment) Act, 2015 in the Contractual Disputes.",22.10.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.44.pdf
2.1.43,Introduction of Dispute Resolution Board (DRB) in all ongoing and upcoming  EPC/HAM/BOT Projects.,04.09.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.43.pdf
2.1.42,Introduction of Dispute Resolution Board (DRB) in all ongoing and upcoming EPC/HAM/BOT Projects.,28.08.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.42.pdf
2.1.41,Introduction of Dispute Resolution Board (DRB) in all ongoing and upcoming EPC/HAM/BOT Projects.,18.08.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.41.pdf
2.1.40,Delegation of Power to RO for signing for Supplementary Agreement in ongoing   PPP/HAM/EPC/ Item Rate Projects for adopting the procedure of Dispute Resolution Board.,12.06.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.40.pdf
2.1.39,Establishment of a Conciliation & Settlement Mechanism for Contractual Disputes under the contract agreements with the Contractors/ Concessionaires/ Consultants in NHAI -  Regarding  Extension of time period of panel of Independent Experts of Conciliation Committees of Independent Expert (CCIEs 1&2),02.06.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.39.pdf
2.1.38,Introduction of provisions of DRB in ongoing projects - Corrigendum reg.,13.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.38.pdf
2.1.37,Introduction of provisions of Dispute Review Board (DRB) in ongoing PPP projects,16.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.37.pdf
2.1.36,Schedule of expenses and fees payable to the Member(s) of Dispute Review Board (DRB),16.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.36.pdf
2.1.35,"Implementation of CCEA decisions dated 28.11.2019 in respect of filing of objections/ petitions U/s 34 of the Arbitations & Conciliation (Amendment) Act, 2015 (A&C act) and any appeals thereto",06.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.35.pdf
2.1.34,Appearance of Officers of NHAI before Ld. Arbitral Tribunals in terms of Affidavit filed by them on the advice of Advocates/Law Firms of NHAI,31.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.34.pdf
2.1.33,Change in Composition of Members of Conciliation committee of Independent Experts - 1 (CCEI-1)- reg.,31.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.33.pdf
2.1.32,Team to review statement of Defence/Counter Claims of NHAI in all ongoing Arbitrations/ future Arbitrations.,21.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.32.pdf
2.1.31,Constitution of Conciliation Committee of Independent Expert -3  (CCIE-3),16.09.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.31.pdf
2.1.30,Serious observation by the HonÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ble High Court regarding delay in depositing the amounts as directed by the Court.,19.08.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.30.pdf
2.1.29,Drafting & presentation of Statement of Defence before Arbitral Tribunal and moving applications/ appeals before Arbitral Tribunals/ Courts.,10.07.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.29.pdf
2.1.28,Modification in the SOP for conciliation of disputes between NHAI and the Concessionaire/Contractor/Consultant.,03.08.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.28.pdf
2.1.27,Modified Standard Operating Procedure for Conciliation/Amicable Settlement through Conciliation Committee of Independent Expert-reg.,18.07.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.27.pdf
2.1.26,Modification in Standard Operationg Procedure for Standing Commiittee-reg.,26.02.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.26.pdf
2.1.25,Contractual Disputes/Claims - Standard Operating Procedure (SoP) for handling the arbitration matters and the court cases - Modifications.,22.12.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.25.pdf
2.1.24,Standard Operating Procedure (SOP) for Standing Committee-reg.,02.11.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.24.pdf
2.1.23,Establishment of a Conciliation & Settlement Mechanism for Contractual Disputes under the contract agreements with the Contractors/Concessionaires/Consultants in NHAI - Panel of Independent Experts and Constitution of Conciliation Committees - regarding.,02.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.23.pdf
2.1.22,Contractual Dispute/ Claims- Standard Operating Procedure (SoP) for handling the arbitration matters and the court cases.,01.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.22.pdf
2.1.21,Constitution of Independent Settlement Advisory Committee (ISAC) - Dispute Resolution Mechanism - clarification reg.,26.04.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.21.pdf
2.1.20,"Induction of Shri Dev Raj,CGM(T) in place of Shri S.C. Jindal CGM(Tech) to head the 3 CGMs committee for negotiation and One Time Amicable Settlement of disputes/ claims pertianng to various contract packages.",01.06.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.20.pdf
2.1.19,Filing of caveats to prevent ex-parte hearing by the courts.,09.04.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.19.pdf
2.1.18,Compliance of Order/ judgement,04.04.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.18.pdf
2.1.17,One time amicable settlement of all the disputes by 3 CGMs committee,12.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.17.pdf
2.1.16,One Time Settlement of Disputes/ claims of the Concessionaire/ Contractor through 3 CGMs Committee/ Independent Settlement Advisory Committee(ISAC).,7.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.16.pdf
2.1.15,PPP and EPC Projects Stakeholders Grievance Redressal Committees,24.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.15.pdf
2.1.14,PPP and EPC (Item rate and turnkey) Projects Stakeholders Grievance Redressal Committees,13.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.14.pdf
2.1.13,Standing committee constitution,9.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.13.pdf
2.1.12,Re-constitution of 3 CGMs Settlement Negotiation Committee-reg.,15.02.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.12.pdf
2.1.11,Settlement of cases through conciliation in BOT projects.,15.01.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.11.pdf
2.1.10,Handling of arbitration cases by Legal & Arbitration Cell- clarifications on the role of the PD-PIU or his representative.,27.12.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.10.pdf
2.1.9,Constitution of Settlement Negotiation Committee.,3.12.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.9.pdf
2.1.8,"Notification dated 23.7.2012 issued by Delhi Government notifying the \""Court fees (Delhi Amendment) Act,2012-Introduction of court fees for setting aside the Arbitral award or appeal under Arbitration & Conciliation Act,1996-Amendment to circular dated 01.11.2012.",15.11.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.8.pdf
2.1.7,Guidelines for handling the Dispute Review Board (DRB)/ Dispute Review Expert (DRE)/ Dispute Adjudication Board (DAB) & Arbitration matters in NHAI- Procedure reg.,04.09.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.7.pdf
2.1.6,Expeditious processing of bills of Law firms/ advocates.,24.08.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.6.pdf
2.1.5,Handling of arbitration cases by Legal & Arbitration Cell of the HQS.,30.7.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.5.pdf
2.1.4,Procedure for nomination of DRB Member/ Arbitrator on behalf of NHAI in case of disputes.,02.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.4.pdf
2.1.3,Fee of Arbitrators in case of Civil Engineering Construction Contracts/Superivison consultant.,02.08.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.3.pdf
2.1.2,Settlement of disputes between the Ministries/ Departments or between the Public Sector Enterprises or between a Public Sector enterprise and a Ministry / Department of the Govt. of India.,25.08.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/2.1.2.pdf
2.2.15,Site Visits for DRB Members-reg.,01.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.15.pdf
2.2.14,Age Criteria for Empanelment & De-empanelment of Dispute Resolution Board (DRB) Members – reg.,28.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.14.pdf
2.2.13,Standard Operating Procedure (SOP) for Empanelment/ De-empanelment of Members to the Dispute Resolution Boards (DRBs),28.11.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.13.pdf
2.2.12,Schedule of expenses and fees payable to the Member(s) of Dispute Review Board (DRB) - reg.,03.11.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.12.pdf
2.2.11,"डीआरबी और आर्बिट्रल ट्रिब्यूनल के समक्ष एनएचएआई के हितों की रक्षा के लिए तकनीकी सह संविदा प्रबंधन विशेषज्ञों की नियुक्ति के संबंध में।  
Engagement of Technical cum Contract Management Experts to defend NHAIs interest before DRB and Arbitral Tribunal- reg.",30.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.11.pdf
2.2.10,"डीआरबी सदस्यों के लिए टेम्पलेट के संबंध में 
Templates for DRB Members- reg.",30.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.10.pdf
2.2.9,Delays in works by the contractors/ concessionaires,25.10.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.9.pdf
2.2.8,Procedure for ferring the decision of DRB to Arbitration,29.06.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.8.pdf
2.2.7,Procedure for referring the decision of DRB to Arbitration.,25.05.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.7.pdf
2.2.6,Guidelines for decision on the recommendations of DRE/DRB/DAB on NHAI projects.,23.08.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.6.pdf
2.2.5,Procedure for appointment of DRB Member/ Arbitrator/ Advocate/ Techno Legal Expert etc. in case of disputes relating to SPVs.,09.07.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.5.pdf
2.2.4,Ensuring uniformity of guidelines and procedure on various issues including on the Dispute Resolution by DRB & Arbitration award.,21.05.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/2.2.4.pdf
2.4.9,Constitution of Committee in NHAI HQ in terms of the directions of MoRTH for deliberation in respect of arbitral awards/ court orders where amount involved is below Rs.100 Cr. - reg.,07.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/2.4.9.pdf
2.4.8,Committee to take a call on conciliation/ amicable settlement where settlement amount of the case is more than Rs. 100 cr.,03.01.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/2.4.8.pdf
2.5.17,"Clarification on Policy Guidelines No. 2.05.11/2019 dated 17.05.2019 regarding payment of Royalty after Hon’ble Supreme Court Judgement dated 25.07.2024 passed in Civil Appeal Nos. 4056-4064 of 1999, Mineral Area Development Authority & Anr. (Appellants) Vs. M/s Steel Authority of India & Anr. (Respondents)",13.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.17.pdf
2.5.16,Engagement of Advocates- Experience reg,13.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.16.pdf
2.5.15,Addendum to SOP/Guidelines on Reimbursement for increase/recovery for decrease in Royalty rates of minor minerals under Change in Law in EPC/DBFOT projects. (NHAI /Policy Guidelines EPC & DBFOT Contracts/2019 no. 2.5.11/2019 dt. 17.05.2019.,27.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/2.5.15.pdf
